Timestamp,Speed,X,Y,Z
0 days 00:00:06.039000,28.88888888888889,-5025.844517588166,-2466.3363978682282,155.73107043803705
0 days 00:00:06.075000,29.0,-5036.0,-2462.0,156.0
0 days 00:00:06.315000,29.74074074074074,-5101.0,-2432.0,159.0
0 days 00:00:06.399000,30.0,-5123.3381588690145,-2420.3329588825977,159.88169202961615
0 days 00:00:06.515000,30.604166666666664,-5154.0,-2403.0,161.0
0 days 00:00:06.559000,30.833333333333332,-5165.566193688264,-2396.04053832894,161.4799436320664
0 days 00:00:06.775000,31.69047619047619,-5222.0,-2359.0,164.0
0 days 00:00:06.839000,31.944444444444443,-5238.713359186646,-2347.228026648265,164.61684202086337
0 days 00:00:06.995000,32.35069444444444,-5279.0,-2317.0,166.0
0 days 00:00:07.159000,32.77777777777778,-5319.406730542604,-2282.7849134842554,167.69886658152953
0 days 00:00:07.195000,32.902388394522575,-5328.0,-2275.0,168.0
0 days 00:00:07.335000,33.386985237419,-5362.0,-2242.0,169.0
0 days 00:00:07.480000,33.888888888888886,-5406.906582556725,-2192.4348011056154,171.24416283879697
0 days 00:00:07.715000,34.500868222222216,-5447.0,-2145.0,174.0
0 days 00:00:07.800000,34.72222222222222,-5427.158521913997,-2167.954871747916,172.98406852086907
0 days 00:00:07.875000,34.98263911111111,-5409.0,-2189.0,172.0
0 days 00:00:08.040000,35.55555555555556,-5411.01016729886,-2186.381329832998,172.00469624443284
0 days 00:00:08.275000,35.82754637037037,-5467.0,-2116.0,175.0
0 days 00:00:08.280000,35.833333333333336,-5468.098845468622,-2114.4719496713087,175.06603767092568
0 days 00:00:08.515000,36.19598775308641,-5514.0,-2044.0,178.0
0 days 00:00:08.640000,36.388888888888886,-5534.103213509245,-2009.2491991946408,179.06962886564364
0 days 00:00:08.715000,36.388888888888886,-5548.0,-1980.0,180.0
0 days 00:00:08.799000,36.388888888888886,-5567.172367564626,-1934.0139145620503,181.59343941861934
0 days 00:00:08.875000,36.25694444444444,-5583.0,-1894.0,183.0
0 days 00:00:09.119000,35.833333333333336,-5601.147007562392,-1839.4056238234216,184.6634575280092
0 days 00:00:09.175000,35.736111111111114,-5604.0,-1825.0,185.0
0 days 00:00:09.279000,35.55555555555556,-5611.002806525223,-1787.0522138096226,185.87888992539322
